player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
1,87,146,309,337,28,-29,106,81819,1.0,0.0
2,1915,109,5003,3197,-1806,1785,98,28623,0.0,1.0
4,91,0,280,189,-91,90,0,5468,0.0,1.0
8,59,0,103,45,-58,59,41,2122,1.0,0.0
9,1885,1345,8751,8036,-715,513,69,23072,0.0,1.0
10,1156,0,7980,6825,-1155,1155,0,8271,0.0,1.0
12,30,169,475,417,-58,-149,0,19739,0.0,1.0
13,419,1345,1116,1390,274,-1003,0,13339,1.0,0.0
14,191,0,458,267,-191,182,44,10075,0.0,1.0
15,221,0,696,467,-229,223,62,47533,0.0,1.0
17,177,0,507,330,-177,173,30,12938,0.0,1.0
18,0,0,1,0,-1,1,0,1803,0.0,1.0
19,1532,0,5748,4214,-1534,1530,36,42170,1.0,0.0
20,1240,0,8044,6806,-1238,1240,99,196559,0.0,1.0
21,60,0,155,97,-58,58,0,4702,1.0,0.0
22,293,0,25398,25187,-211,200,0,26972,0.0,1.0
23,0,0,1,0,-1,0,0,3889,0.0,1.0
24,119,0,372,255,-117,117,45,8335,1.0,0.0
25,1591,1659,13045,13105,60,-90,98,74427,1.0,0.0
26,1332,267,7010,5944,-1066,1065,34,30686,1.0,0.0
27,324,0,1882,1559,-323,323,0,20829,0.0,1.0
29,19558,0,294277,275530,-18747,13051,337,1224349,0.0,1.0
32,30,0,50,19,-31,30,28,4618,1.0,0.0
33,87,0,496,409,-87,87,7,3520,0.0,1.0
34,0,0,3171,2217,-954,944,0,5586,0.0,1.0
35,7192,1207,58221,52236,-5985,5965,94,106617,0.0,1.0
36,131,0,468,338,-130,131,0,5637,1.0,0.0
37,209,0,659,450,-209,188,0,5439,0.0,1.0
39,26754,26762,142018,142025,7,-49,617,1897557,0.0,1.0
40,12301,0,72327,60025,-12302,12301,123,70034,1.0,0.0
41,30,0,43,13,-30,29,0,3288,0.0,1.0
42,0,0,1,0,-1,1,17,1893,0.0,1.0
43,29,0,52,18,-34,29,0,2434,0.0,1.0
44,446,0,834,388,-446,399,0,3259,0.0,1.0
45,904,0,2097,1193,-904,904,0,4447,0.0,1.0
46,639,302,2203,1866,-337,320,49,26151,0.0,1.0
47,455,0,2444,1994,-450,445,0,16169,0.0,1.0
48,58,0,383,325,-58,58,31,2772,0.0,1.0
50,10701,5316,61970,57465,-4505,4433,318,111188,1.0,0.0
52,241,0,940,699,-241,241,0,9011,1.0,0.0
53,3298,0,19189,15892,-3297,3216,25,47003,0.0,1.0
55,173,0,586,412,-174,170,0,8503,0.0,1.0
56,2687,0,12546,9827,-2719,2688,88,82864,0.0,1.0
57,87,0,126,39,-87,81,0,2386,1.0,0.0
58,149,0,282,133,-149,144,0,7038,1.0,0.0
59,236,236,704,703,-1,1,0,9375,1.0,0.0
60,120,0,259,138,-121,121,0,7389,1.0,0.0
61,589,0,912,328,-584,584,0,3172,1.0,0.0
62,45,0,49,6,-43,39,29,290,1.0,0.0
63,13127,15874,106963,109716,2753,-2784,210,326130,0.0,1.0
64,3805,646,8671,5513,-3158,3159,18,28633,1.0,0.0
66,8664,0,60018,51290,-8728,8664,5,25420,0.0,1.0
67,74,0,98,24,-74,60,43,2749,0.0,1.0
68,150,0,559,410,-149,149,0,8716,1.0,0.0
69,7623,7527,60825,60728,-97,-152,131,375174,0.0,1.0
73,44,0,213,169,-44,44,41,1169,0.0,1.0
74,527,0,940,405,-535,527,95,16237,0.0,1.0
75,89,0,127,38,-89,89,0,2407,1.0,0.0
76,151,0,226,76,-150,145,0,2405,1.0,0.0
78,54426,40573,433944,420092,-13852,13697,1003,4697230,0.0,1.0
79,18894,19116,44404,44625,221,-223,499,290082,0.0,1.0
80,176,0,254,78,-176,176,0,2445,0.0,1.0
84,30,0,36,5,-31,29,0,741,1.0,0.0
85,147,294,184,329,145,-147,13,1878,1.0,0.0
86,321,0,1007,672,-335,321,0,10509,1.0,0.0
88,287,287,1271,1271,0,0,0,13405,1.0,0.0
89,1175,469,14606,13894,-712,662,124,281371,1.0,0.0
91,500,385,1516,1401,-115,115,14,5391,1.0,0.0
92,0,0,5,2,-3,0,0,3760,1.0,0.0
93,30,0,75,40,-35,30,0,1776,0.0,1.0
94,733,0,2236,1502,-734,714,0,45261,0.0,1.0
95,30,0,40,10,-30,23,0,4555,1.0,0.0
96,59,0,114,54,-60,59,0,3719,1.0,0.0
97,18212,14163,67357,63263,-4094,3104,281,534658,0.0,1.0
99,180,601,1790,2211,421,-421,0,5472,0.0,1.0
100,147,0,550,403,-147,147,0,4109,0.0,1.0
102,58,79,441,430,-11,-21,34,11022,1.0,0.0
103,90,0,303,213,-90,90,0,11856,0.0,1.0
105,447,0,1065,616,-449,450,21,17881,0.0,1.0
106,4848,3624,12425,11201,-1224,1203,0,32476,0.0,1.0
109,59,0,390,331,-59,45,0,7465,0.0,1.0
110,120,271,358,509,151,-151,0,3516,0.0,1.0
111,59,0,116,56,-60,59,0,1105,1.0,0.0
113,135153,145611,710916,721337,10421,-10662,257,835252,0.0,1.0
114,58,0,87,22,-65,58,54,8067,0.0,1.0
115,12953,2682,203554,193287,-10267,9340,243,538443,1.0,0.0
117,1780,0,5915,4615,-1300,1301,27,21110,0.0,1.0
118,31,0,58,28,-30,26,0,2298,1.0,0.0
120,980,293,4292,3607,-685,686,18,30151,1.0,0.0
121,29,0,310,276,-34,29,0,3639,0.0,1.0
123,903,0,1900,997,-903,903,0,2432,0.0,1.0
125,15262,13719,105626,104083,-1543,1542,219,423673,0.0,1.0
126,584,155,1646,1221,-425,425,48,10420,0.0,1.0
127,1646,1106,9509,8965,-544,289,111,110449,0.0,1.0
128,10724,14648,155418,161285,5867,-5893,227,413038,0.0,1.0
130,61,0,76,15,-61,61,0,2227,1.0,0.0
133,473,1680,1082,2290,1208,-1216,110,36686,0.0,1.0
134,45,0,45,0,-45,44,0,2333,0.0,1.0
135,353,276,1305,1229,-76,72,71,34278,0.0,1.0
137,851,739,3210,3099,-111,111,48,12332,0.0,1.0
140,1475,504,7309,6337,-972,849,180,71854,0.0,1.0
142,184,0,205,21,-184,184,0,6296,0.0,1.0
143,401,0,1206,804,-402,401,24,15563,1.0,0.0
144,14353,12955,57322,55885,-1437,1399,241,675130,0.0,1.0
145,265,0,707,441,-266,266,34,12960,0.0,1.0
147,44,0,44,0,-44,41,0,2390,1.0,0.0
148,6718,5211,26755,25248,-1507,1508,0,19192,0.0,1.0
151,45,0,107,43,-64,38,0,2754,0.0,1.0
152,29,0,224,194,-30,29,0,3052,0.0,1.0
154,1363,3088,8695,10416,1721,-2008,96,66102,0.0,1.0
155,30,0,58,28,-30,29,0,2196,1.0,0.0
159,3352,6605,3318,6570,3252,-3253,110,26744,1.0,0.0
160,1659,587,10709,9051,-1658,1658,0,11960,1.0,0.0
161,3963,3296,8846,8188,-658,655,150,143023,0.0,1.0
163,59,0,114,56,-58,58,3,2688,1.0,0.0
165,2888,1022,21160,19400,-1760,1519,83,385253,0.0,1.0
166,30,0,41,11,-30,30,0,9861,1.0,0.0
167,12951,13821,42854,43914,1060,-1437,827,803968,0.0,1.0
168,1843,10723,17060,25943,8883,-8881,5,53826,1.0,0.0
170,60,0,439,379,-60,60,0,3913,1.0,0.0
172,294,1411,2064,3180,1116,-1118,10,17563,0.0,1.0
173,721,961,3596,3838,242,-265,98,57414,0.0,1.0
174,8330,0,109275,100940,-8335,8335,40,72013,1.0,0.0
175,151,0,410,260,-150,150,0,731,0.0,1.0
179,119,0,696,578,-118,118,0,7445,1.0,0.0
180,671,0,1427,756,-671,664,0,8802,1.0,0.0
181,180,0,472,291,-181,180,0,3601,0.0,1.0
182,253,0,478,226,-252,252,12,2978,1.0,0.0
185,30,136,739,696,-43,-104,83,14753,0.0,1.0
186,120,0,228,108,-120,120,0,4555,0.0,1.0
188,1704,0,3431,1728,-1703,1704,10,10417,1.0,0.0
189,92,0,239,146,-93,92,43,10800,0.0,1.0
190,116,343,2200,2427,227,-227,0,14310,0.0,1.0
191,19824,18496,83141,81810,-1331,1326,23,296860,0.0,1.0
192,1518,352,5838,4671,-1167,1081,27,28206,0.0,1.0
194,29,0,71,39,-32,29,0,6232,0.0,1.0
195,58,0,167,109,-58,58,0,3651,0.0,1.0
196,46019,41185,270036,265132,-4904,4658,227,710669,0.0,1.0
197,29,0,73,44,-29,25,0,2304,0.0,1.0
201,30,0,70,27,-43,30,9,10375,0.0,1.0
204,1311,176,14129,12992,-1137,1135,54,56644,0.0,1.0
205,2800,2744,8288,8233,-55,53,227,187547,0.0,1.0
209,2336,884,9747,8288,-1459,1450,58,175939,0.0,1.0
210,4678,5722,48783,49827,1044,-1043,0,37144,1.0,0.0
211,170,0,1065,864,-201,170,11,33703,1.0,0.0
213,3235,12658,20709,30132,9423,-9442,92,86068,0.0,1.0
217,150,0,4676,4526,-150,152,2,30232,0.0,1.0
218,45,0,67,23,-44,44,0,2362,0.0,1.0
221,90,0,297,211,-86,86,35,8345,0.0,1.0
222,89,0,313,223,-90,87,9,8652,0.0,1.0
224,122,122,180,180,0,0,0,6233,0.0,1.0
226,1327,0,20000,19420,-580,-869,23,16502,0.0,1.0
228,454,1516,1805,2871,1066,-1067,0,9004,1.0,0.0
230,105,0,328,224,-104,105,0,8381,0.0,1.0
236,7230,7827,21511,22107,596,-1894,0,91310,0.0,1.0
239,146,0,250,104,-146,146,0,3207,0.0,1.0
240,1126,0,8959,7834,-1125,1126,33,29933,0.0,1.0
243,61,61,50,50,0,0,0,9234,0.0,1.0
244,225,0,2309,2083,-226,218,0,10973,0.0,1.0
245,0,0,1,0,-1,0,63,4569,0.0,1.0
246,33549,34323,85952,86567,615,-865,344,613678,0.0,1.0
248,150,150,517,518,1,0,24,5892,0.0,1.0
251,60,60,96,96,0,0,0,2758,0.0,1.0
255,2273,752,15129,13615,-1514,1475,0,76710,0.0,1.0
256,60,0,70,10,-60,56,0,4557,0.0,1.0
257,29,0,29,0,-29,28,0,3487,0.0,1.0
259,177,0,213,35,-178,164,0,6616,0.0,1.0
260,118,110,162,155,-7,8,40,17072,0.0,1.0
262,89,0,178,85,-93,77,0,3035,0.0,1.0
263,517,0,1105,588,-517,510,0,9784,0.0,1.0
264,133,0,239,105,-134,134,0,10691,0.0,1.0
268,60,0,236,176,-60,55,0,2848,0.0,1.0
270,2613,0,6337,3692,-2645,2613,43,18372,0.0,1.0
271,88,0,215,127,-88,88,0,2597,0.0,1.0
272,890,263,3233,2607,-626,626,1,72933,1.0,0.0
273,210,0,694,484,-210,210,0,3040,0.0,1.0
274,150,59,706,617,-89,90,37,8818,0.0,1.0
275,64,0,193,130,-63,62,0,3550,1.0,0.0
276,58,0,115,57,-58,57,0,3301,1.0,0.0
278,3430,0,22316,18886,-3430,3430,0,40104,0.0,1.0
280,75,0,294,219,-75,73,68,17435,0.0,1.0
281,239,0,1039,800,-239,239,18,12226,1.0,0.0
283,12543,8165,49430,45053,-4377,4376,30,97087,1.0,0.0
284,5130,4992,30173,29994,-179,145,398,523526,0.0,1.0
285,648,0,2700,2053,-647,601,99,39465,0.0,1.0
286,850,1915,1342,1212,-130,132,146,206988,0.0,1.0
288,146,0,291,145,-146,146,0,4971,0.0,1.0
289,30,149,82,202,120,-120,4,3791,1.0,0.0
290,510,403,783,643,-140,107,26,24604,0.0,1.0
291,59,0,1122,1066,-56,-6,0,4641,0.0,1.0
292,1633,2385,3608,4359,751,-753,28,17632,0.0,1.0
294,58,0,182,117,-65,54,0,8710,0.0,1.0
295,148,355,211,419,208,-207,0,1173,0.0,1.0
296,1132,2290,9938,11217,1279,-1282,145,151040,1.0,0.0
298,44767,39277,317363,311707,-5656,5495,1016,1551160,1.0,0.0
299,1432,0,7612,6262,-1350,1329,26,25545,0.0,1.0
300,12015,2927,80983,71895,-9088,9088,0,23780,0.0,1.0
301,3556,1194,13399,11043,-2356,2305,106,260429,0.0,1.0
303,1815,0,6131,4317,-1814,1773,0,23033,0.0,1.0
304,89,0,142,53,-89,89,0,2120,0.0,1.0
305,175,0,417,243,-174,174,0,4404,0.0,1.0
307,75,0,186,111,-75,61,13,2633,0.0,1.0
308,60,0,132,72,-60,53,0,2122,1.0,0.0
309,30,0,38,8,-30,30,0,2464,0.0,1.0
310,1485,398,7083,5996,-1087,1084,0,135877,0.0,1.0
311,22999,24688,302574,304102,1528,-4882,447,1146575,1.0,0.0
312,210,0,1307,1098,-209,210,79,47881,1.0,0.0
313,3639,1060,15753,13359,-2394,2391,57,39713,0.0,1.0
314,647,0,987,340,-647,647,18,4384,1.0,0.0
315,102,0,274,169,-105,91,0,968,0.0,1.0
318,764,705,3407,3349,-58,45,87,26605,0.0,1.0
319,60,0,97,37,-60,60,0,2350,0.0,1.0
320,60,0,838,779,-59,59,0,5059,0.0,1.0
322,207,0,801,594,-207,206,0,12333,1.0,0.0
325,146,63,94,11,-83,82,0,5758,1.0,0.0
327,60,0,72,12,-60,60,19,2568,1.0,0.0
328,61,0,109,49,-60,58,30,8092,0.0,1.0
329,1998,3789,12067,13860,1793,-1793,125,60050,0.0,1.0
