player_id_cat,gender,date,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum
1,female,2013-01-29,0,0,73,43,-30,30,0,2313
1,female,2013-02-07,0,0,0,0,0,0,0,6007
1,female,2013-02-18,0,0,0,0,0,0,0,3601
1,female,2013-03-06,0,0,0,0,0,0,0,2099
1,female,2013-03-07,0,0,0,0,0,0,0,4256
1,female,2013-03-08,0,0,0,0,0,0,0,1951
1,female,2013-03-25,0,0,0,0,0,0,0,1887
1,female,2013-03-28,0,0,0,0,0,0,0,1915
1,female,2013-03-29,0,0,0,0,0,0,0,1694
1,female,2013-04-15,0,0,0,0,0,0,0,2003
1,female,2013-05-13,29,0,0,0,0,0,0,3638
1,female,2013-05-15,0,0,143,114,-29,29,0,3001
1,female,2013-06-03,0,0,0,0,0,0,0,3628
1,female,2013-06-26,0,0,0,0,0,0,0,1913
1,female,2013-07-31,0,0,0,0,0,0,0,1944
1,female,2013-08-01,0,0,0,0,0,0,0,3646
1,female,2013-08-06,0,0,0,0,0,0,0,1880
1,female,2013-08-08,29,0,35,6,-29,29,0,3629
1,female,2013-08-21,29,146,29,169,140,-140,38,279
1,female,2013-08-23,0,0,29,5,-24,23,0,2470
1,female,2013-08-27,0,0,0,0,0,0,0,1934
1,female,2013-09-07,0,0,0,0,0,0,4,1897
1,female,2013-09-10,0,0,0,0,0,0,0,1906
1,female,2013-09-26,0,0,0,0,0,0,0,3633
1,female,2013-09-27,0,0,0,0,0,0,0,2108
1,female,2013-09-30,0,0,0,0,0,0,0,1975
1,female,2013-10-09,0,0,0,0,0,0,0,1951
1,female,2013-10-21,0,0,0,0,0,0,37,1973
1,female,2013-11-03,0,0,0,0,0,0,0,3656
1,female,2013-11-06,0,0,0,0,0,0,0,1184
1,female,2013-11-15,0,0,0,0,0,0,0,1995
1,female,2013-12-11,0,0,0,0,0,0,0,1977
1,female,2013-12-18,0,0,0,0,0,0,27,1876
2,male,2013-02-13,120,0,490,371,-119,119,0,3789
2,male,2013-02-14,120,0,185,63,-122,122,47,576
2,male,2013-02-15,90,0,604,514,-90,90,0,5105
2,male,2013-02-20,119,0,167,48,-119,119,0,586
2,male,2013-03-01,120,0,211,92,-119,119,0,645
2,male,2013-03-07,60,0,254,195,-59,59,0,702
2,male,2013-03-11,59,0,192,132,-60,50,0,2656
2,male,2013-03-21,60,0,223,163,-60,60,0,630
2,male,2013-03-25,120,0,261,141,-120,120,0,715
2,male,2013-03-26,60,0,200,139,-61,61,0,645
2,male,2013-04-01,60,0,93,34,-59,59,0,458
2,male,2013-04-26,59,0,90,31,-59,59,0,329
2,male,2013-09-24,44,0,593,548,-45,45,0,3242
2,male,2013-10-17,58,0,187,130,-57,57,0,582
2,male,2013-10-24,117,0,143,25,-118,118,1,613
2,male,2013-11-05,59,0,66,7,-59,59,15,2140
2,male,2013-11-09,59,0,211,153,-58,58,0,924
2,male,2013-11-11,117,0,236,118,-118,117,0,1019
2,male,2013-11-12,59,109,66,115,49,-50,0,735
2,male,2013-11-14,88,0,147,59,-88,83,0,798
