player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,gender_female,gender_male,no_churn
1,0,0,0,0,0,0,27,1876,1,0,1
2,90,0,103,13,-90,90,0,463,0,1,0
4,91,0,280,189,-91,90,0,5468,0,1,1
8,59,0,103,45,-58,59,41,2122,1,0,1
9,351,527,1234,1410,176,-186,0,3396,0,1,1
10,0,0,0,0,0,0,0,1917,0,1,0
12,0,169,142,114,-28,-174,0,7496,0,1,1
13,0,0,0,0,0,0,0,1965,1,0,1
14,31,0,52,20,-32,31,0,358,0,1,1
15,0,0,0,0,0,0,0,1880,0,1,1
17,59,0,179,120,-59,57,0,3874,0,1,1
18,0,0,1,0,-1,1,0,1803,0,1,1
19,150,0,364,213,-151,151,0,2801,1,0,1
20,30,0,247,217,-30,30,0,7249,0,1,1
21,30,0,36,8,-28,28,0,1991,1,0,0
22,293,0,25398,25187,-211,200,0,26972,0,1,1
24,59,0,193,136,-57,57,0,2509,1,0,0
25,88,352,142,427,285,-285,0,2097,1,0,0
26,296,0,733,437,-296,296,0,3961,1,0,1
27,0,0,0,0,0,0,0,3192,0,1,1
32,30,0,50,19,-31,30,28,4618,1,0,1
33,87,0,496,409,-87,87,7,3520,0,1,1
34,0,0,3171,2217,-954,944,0,5586,0,1,1
35,0,0,0,0,0,0,0,1921,0,1,1
36,44,0,309,266,-43,44,0,760,1,0,1
37,120,0,383,263,-120,112,0,2903,0,1,0
39,120,0,343,222,-121,121,0,1698,0,1,1
40,301,0,415,113,-302,301,0,2606,1,0,1
41,30,0,43,13,-30,29,0,3288,0,1,1
44,446,0,834,388,-446,399,0,3259,0,1,1
45,904,0,2097,1193,-904,904,0,4447,0,1,1
46,148,0,195,48,-147,147,0,2571,0,1,0
47,152,0,326,178,-148,148,0,6506,0,1,1
48,58,0,383,325,-58,58,31,2772,0,1,1
50,90,0,91,0,-91,91,0,2243,1,0,1
52,0,0,0,0,0,0,0,1893,1,0,1
53,151,0,476,325,-151,151,0,3287,0,1,1
55,30,0,83,53,-30,30,0,1399,0,1,1
56,30,0,138,109,-29,30,0,3497,0,1,0
57,87,0,126,39,-87,81,0,2386,1,0,1
58,60,0,104,44,-60,60,0,3470,1,0,0
59,60,90,389,419,30,-30,0,3523,1,0,0
60,60,0,128,67,-61,61,0,3042,1,0,1
61,589,0,912,328,-584,584,0,3172,1,0,1
62,45,0,49,6,-43,39,29,290,1,0,1
63,87,0,278,190,-88,88,0,2879,0,1,1
64,1634,0,2568,934,-1634,1634,18,4625,1,0,1
66,42,0,51,8,-43,43,0,2616,0,1,0
67,74,0,98,24,-74,60,43,2749,0,1,1
68,150,0,559,410,-149,149,0,8716,1,0,1
69,0,0,0,0,0,0,20,9099,0,1,1
73,44,0,213,169,-44,44,41,1169,0,1,1
74,150,0,169,20,-149,150,0,2580,0,1,0
75,89,0,127,38,-89,89,0,2407,1,0,1
76,151,0,226,76,-150,145,0,2405,1,0,1
78,30,0,94,64,-30,30,0,2809,0,1,1
79,150,0,182,32,-150,151,0,2197,0,1,1
80,176,0,254,78,-176,176,0,2445,0,1,1
84,30,0,36,5,-31,29,0,741,1,0,1
85,147,294,184,329,145,-147,13,1878,1,0,1
86,145,0,347,202,-145,145,0,4396,1,0,0
88,287,287,1271,1271,0,0,0,13405,1,0,1
89,0,0,37,25,-12,12,0,1220,1,0,1
91,237,0,589,352,-237,237,0,2987,1,0,0
93,30,0,75,40,-35,30,0,1776,0,1,1
95,30,0,40,10,-30,23,0,4555,1,0,1
96,59,0,114,54,-60,59,0,3719,1,0,1
97,146,0,226,80,-146,147,0,1756,0,1,0
99,180,601,1790,2211,421,-421,0,5472,0,1,1
100,147,0,550,403,-147,147,0,4109,0,1,1
102,58,79,441,430,-11,-21,34,11022,1,0,1
103,30,0,102,72,-30,30,0,3573,0,1,0
105,387,0,973,582,-391,391,0,15699,0,1,1
106,1739,2718,7533,8511,978,-981,0,14775,0,1,0
109,29,0,333,304,-29,15,0,4386,0,1,0
110,120,271,358,509,151,-151,0,3516,0,1,1
111,59,0,116,56,-60,59,0,1105,1,0,1
113,0,0,10119,6771,-3348,3347,0,5220,0,1,1
114,0,0,0,0,0,0,12,1904,0,1,0
115,0,0,416,160,-256,256,0,2323,1,0,1
117,1481,0,3935,2895,-1040,1040,27,13741,0,1,1
120,210,0,1083,873,-210,240,18,8001,1,0,1
121,29,0,310,276,-34,29,0,3639,0,1,1
123,903,0,1900,997,-903,903,0,2432,0,1,1
125,268,754,1147,1633,486,-486,0,10764,0,1,1
126,0,0,0,0,0,0,0,21,0,1,1
127,0,0,0,0,0,0,0,505,0,1,1
128,480,0,10590,10893,303,-308,0,22513,0,1,1
130,61,0,76,15,-61,61,0,2227,1,0,1
133,30,0,40,10,-30,29,0,2201,0,1,0
134,45,0,45,0,-45,44,0,2333,0,1,1
135,60,0,65,5,-60,60,0,2072,0,1,0
137,441,739,2642,2940,298,-298,48,5446,0,1,0
140,0,0,26,10,-16,16,48,510,0,1,1
143,0,0,0,0,0,0,0,2536,1,0,1
144,840,0,2304,1464,-840,840,0,17298,0,1,1
