frequency,recency,T,monetary_value,prob_alive,purchase_next_4_weeks
23.0,46.0,48.0,3456.782608695652,0.9589738712700109,1.7885701656641506
17.0,45.0,46.0,1126.6470588235295,0.9695565338774291,1.4013628923960362
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
0.0,0.0,14.0,0.0,1.0,0.10876141351751954
2.0,8.0,18.0,9546.5,0.5808274649894799,0.28140050197374145
1.0,7.0,12.0,1917.0,0.7360944712521623,0.3007963178803902
1.0,1.0,48.0,7496.0,0.07033570571547351,0.008057705634757304
1.0,1.0,47.0,1965.0,0.07227222619048375,0.008448368891837216
3.0,3.0,8.0,2971.0,0.44861855797592304,0.6100550413561705
16.0,36.0,43.0,4966.0625,0.723882875336592,1.0517273738704664
2.0,2.0,7.0,4747.5,0.48062455448463437,0.516121269308987
0.0,0.0,28.0,0.0,1.0,0.057895140538553574
11.0,30.0,31.0,3160.7272727272725,0.9557478269093296,1.3157147397642808
7.0,14.0,14.0,22784.571428571428,0.9538812148660771,1.7532578800337637
1.0,8.0,44.0,1991.0,0.3645991898553377,0.0453972577951549
0.0,0.0,21.0,0.0,1.0,0.07556096002898345
28.0,38.0,48.0,22660.5,0.10835542888437309,0.2451869577637331
1.0,28.0,38.0,2509.0,0.7806550485131499,0.11176624305987055
10.0,21.0,31.0,6391.0,0.3798465485523693,0.4772436518844962
0.0,0.0,30.0,0.0,1.0,0.05427043530219012
0.0,0.0,31.0,0.0,1.0,0.05262316936346398
1.0,1.0,4.0,10445.0,0.637301954360317,0.6093417769093481
26.0,38.0,40.0,59986.0,0.949307681289997,2.3752809714861245
0.0,0.0,48.0,0.0,1.0,0.03471324090023757
0.0,0.0,17.0,0.0,1.0,0.09152362645688207
0.0,0.0,6.0,0.0,1.0,0.21879771053871672
2.0,2.0,2.0,10445.5,0.8883069995531403,2.1550345616965196
2.0,2.0,19.0,1308.5,0.09827113809102274,0.0453508959006655
1.0,21.0,25.0,2903.0,0.8105109390454324,0.17183765443791577
27.0,35.0,35.0,70085.44444444444,0.9862265103519754,2.9048038082099144
3.0,3.0,4.0,20598.0,0.8409159927781817,1.9024729784137322
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
10.0,15.0,36.0,26591.6,0.005404963320064496,0.005901993590541528
1.0,16.0,20.0,2681.0,0.8010576116659308,0.2083837507101592
0.0,0.0,22.0,0.0,1.0,0.07240442561424894
0.0,0.0,2.0,0.0,1.0,0.4454770440154365
3.0,34.0,39.0,5725.0,0.869788792123714,0.2903881500710886
0.0,0.0,48.0,0.0,1.0,0.03471324090023757
0.0,0.0,34.0,0.0,1.0,0.04823143234657768
1.0,1.0,8.0,2016.0,0.44580611688113014,0.25509062655777365
20.0,21.0,22.0,4978.6,0.9567748783988517,3.2264217161965347
1.0,1.0,2.0,1893.0,0.7700577622420821,1.1120945486252347
6.0,13.0,14.0,6857.833333333333,0.9219739310163197,1.4675111216837469
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
4.0,6.0,7.0,17016.5,0.8823519053326295,1.716664007077742
0.0,0.0,11.0,0.0,1.0,0.134013598569496
1.0,30.0,31.0,3470.0,0.837934549652462,0.14538450152817226
3.0,20.0,22.0,2390.6666666666665,0.8855587729434758,0.5040713845276743
1.0,1.0,2.0,3042.0,0.7700577622420821,1.1120945486252347
0.0,0.0,14.0,0.0,1.0,0.10876141351751954
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
14.0,30.0,39.0,23059.5,0.5063695052368017,0.7089523234836609
3.0,5.0,32.0,5751.0,0.03660363213440603,0.01472751388170909
2.0,3.0,10.0,2626.0,0.44938212686517476,0.3622156706144412
0.0,0.0,45.0,0.0,1.0,0.03693121064957513
0.0,0.0,40.0,0.0,1.0,0.04133287676168719
8.0,10.0,10.0,45922.375,0.9587273896918027,2.656860592866481
0.0,0.0,11.0,0.0,1.0,0.134013598569496
0.0,0.0,51.0,0.0,1.0,0.032746617524099464
0.0,0.0,28.0,0.0,1.0,0.057895140538553574
5.0,39.0,41.0,2758.6,0.9230778492527172,0.46464350214886313
0.0,0.0,30.0,0.0,1.0,0.05427043530219012
0.0,0.0,48.0,0.0,1.0,0.03471324090023757
38.0,45.0,45.0,122354.28947368421,0.9900605608787593,3.220053876380211
20.0,25.0,25.0,14228.45,0.981745564223618,2.945646596068191
0.0,0.0,22.0,0.0,1.0,0.07240442561424894
0.0,0.0,7.0,0.0,1.0,0.19419697952002046
0.0,0.0,28.0,0.0,1.0,0.057895140538553574
0.0,0.0,14.0,0.0,1.0,0.10876141351751954
1.0,6.0,17.0,4396.0,0.5976482959046784,0.17999022244200688
0.0,0.0,44.0,0.0,1.0,0.037734899621191226
0.0,0.0,12.0,0.0,1.0,0.12438505213273382
15.0,22.0,25.0,17234.333333333332,0.8655370324335783,1.9622325211457345
5.0,16.0,21.0,5523.8,0.7994012980307194,0.7499877468772629
2.0,12.0,17.0,2041.0,0.7871401020443927,0.40135599530151816
6.0,8.0,37.0,1690.0,0.0022497301756804885,0.0014773145252813516
0.0,0.0,24.0,0.0,1.0,0.06682188295403473
5.0,7.0,19.0,8848.4,0.11616495347846736,0.11929566442574906
0.0,0.0,47.0,0.0,1.0,0.035422354155910774
0.0,0.0,36.0,0.0,1.0,0.04568947737595556
11.0,18.0,37.0,41044.09090909091,0.012842187269834156,0.014973337867026178
0.0,0.0,2.0,0.0,1.0,0.4454770440154365
0.0,0.0,30.0,0.0,1.0,0.05427043530219012
0.0,0.0,32.0,0.0,1.0,0.051072984617994116
1.0,17.0,23.0,3573.0,0.7833680621657594,0.179353904813652
1.0,1.0,15.0,25.0,0.26741615905799737,0.09000215095446834
4.0,11.0,35.0,30787.25,0.10175894988220188,0.04856465707867033
3.0,5.0,6.0,7500.0,0.8654553883606546,1.4695430751660867
2.0,4.0,6.0,10325.0,0.7893730162310991,0.9534636685949661
1.0,5.0,40.0,4386.0,0.2756329859241279,0.03758503098440912
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,27.0,0.0,1.0,0.059895410693060716
15.0,45.0,48.0,54898.8,0.9399309974222038,1.15491492579166
1.0,4.0,22.0,1904.0,0.4036746041919934,0.09626868588442997
19.0,42.0,44.0,28181.263157894737,0.9553514089070254,1.6056954499936502
0.0,0.0,26.0,0.0,1.0,0.062038906268893385
4.0,10.0,49.0,3058.5,0.018241989674437093,0.0063230419869269115
1.0,1.0,9.0,1839.0,0.4107615436699835,0.21364469377842057
4.0,8.0,10.0,5360.0,0.8485136074349175,1.240651970332562
0.0,0.0,32.0,0.0,1.0,0.051072984617994116
1.0,2.0,33.0,6294.0,0.1700627698615987,0.027822185221018217
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
11.0,25.0,25.0,38269.90909090909,0.9686197317532927,1.6276039328616052
4.0,18.0,49.0,1980.5,0.16143653406995476,0.055957162643212585
12.0,26.0,46.0,8805.75,0.03616930710492004,0.037295587252734165
24.0,40.0,40.0,17032.083333333332,0.984607149754868,2.2773207297470455
0.0,0.0,19.0,0.0,1.0,0.08277923225233855
0.0,0.0,52.0,0.0,1.0,0.032139682637547136
1.0,1.0,46.0,1292.0,0.07429968572034701,0.008866147503279286
12.0,32.0,36.0,2855.3333333333335,0.89161036541293,1.1599579799362505
0.0,0.0,37.0,0.0,1.0,0.044516419197481304
3.0,8.0,52.0,7618.0,0.027191739275919582,0.006897896066338256
2.0,8.0,22.0,4765.5,0.46817526572345747,0.1891319407132596
0.0,0.0,20.0,0.0,1.0,0.07900545654328457
5.0,5.0,31.0,31190.4,0.0025103050595248967,0.001644655498949146
9.0,9.0,28.0,7575.666666666667,0.0015254180688939304,0.0019053807863826627
1.0,3.0,39.0,4507.0,0.1890079137653004,0.02640089014786224
2.0,34.0,50.0,3961.0,0.7628890582604958,0.1425170512896388
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
9.0,9.0,9.0,62609.444444444445,0.9626519348150782,3.2505919986241776
2.0,4.0,26.0,4222.5,0.13752523558038185,0.04764252378844407
0.0,0.0,11.0,0.0,1.0,0.134013598569496
1.0,29.0,38.0,17144.0,0.788723113911352,0.11292134653359541
8.0,33.0,45.0,6213.5,0.6523345421136268,0.46612536938039717
0.0,0.0,25.0,0.0,1.0,0.06434158851478464
0.0,0.0,11.0,0.0,1.0,0.134013598569496
5.0,9.0,33.0,12663.0,0.023898755248121118,0.014766823776102079
0.0,0.0,26.0,0.0,1.0,0.062038906268893385
1.0,1.0,47.0,4387.0,0.07227222619048375,0.008448368891837216
1.0,1.0,47.0,3784.0,0.07227222619048375,0.008448368891837216
2.0,3.0,4.0,7640.5,0.8302205303806607,1.3374630594739876
1.0,18.0,39.0,0.0,0.654912317149721,0.09147906982890569
15.0,21.0,22.0,9118.266666666666,0.9545347994809947,2.4322308048718484
0.0,0.0,15.0,0.0,1.0,0.10233590644429767
9.0,25.0,25.0,33635.22222222222,0.9626519348150782,1.3351282887807219
1.0,1.0,38.0,4408.0,0.09464664994780933,0.013550543870838939
21.0,21.0,21.0,31693.04761904762,0.9825562767503341,3.6250385109028738
3.0,5.0,6.0,9625.333333333334,0.8654553883606546,1.4695430751660867
0.0,0.0,18.0,0.0,1.0,0.08693191160466854
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
1.0,1.0,33.0,3784.0,0.11261946447152212,0.018424488808270866
2.0,2.0,3.0,5660.0,0.8123069981667995,1.5720007554862083
5.0,10.0,10.0,10818.2,0.9397268227957682,1.6817830064093022
1.0,1.0,44.0,22477.0,0.07865219455325549,0.0097932031985741
0.0,0.0,38.0,0.0,1.0,0.04340210136251174
1.0,5.0,45.0,1930.0,0.24430238223599995,0.029772168850920436
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
1.0,10.0,26.0,4964.0,0.6080996744544871,0.12432488035472014
0.0,0.0,17.0,0.0,1.0,0.09152362645688207
0.0,0.0,40.0,0.0,1.0,0.04133287676168719
2.0,16.0,42.0,892.0,0.4648890808024001,0.10260307378767783
4.0,4.0,41.0,710.75,0.0015268214773743703,0.0006273459199527597
0.0,0.0,3.0,0.0,1.0,0.35352312773196665
3.0,21.0,25.0,2760.0,0.8569177011751477,0.4337898686199614
0.0,0.0,50.0,0.0,1.0,0.03337691972371055
2.0,2.0,11.0,3009.0,0.2661519643539594,0.1980780566148807
8.0,23.0,34.0,23938.5,0.5049712527997361,0.4704931550638754
1.0,1.0,19.0,318.0,0.21105001957584624,0.057513143427660805
0.0,0.0,28.0,0.0,1.0,0.057895140538553574
0.0,0.0,34.0,0.0,1.0,0.04823143234657768
17.0,31.0,40.0,41589.0,0.39469921489081805,0.6515385179277171
0.0,0.0,8.0,0.0,1.0,0.17458233353265432
0.0,0.0,6.0,0.0,1.0,0.21879771053871672
0.0,0.0,47.0,0.0,1.0,0.035422354155910774
3.0,5.0,43.0,2630.0,0.014136635582545038,0.004301306695810084
1.0,3.0,5.0,2635.0,0.7617908770260817,0.6235398439946293
5.0,10.0,10.0,4550.6,0.9397268227957682,1.6817830064093022
18.0,39.0,40.0,8554.0,0.9688125849925682,1.6908917627209465
1.0,1.0,2.0,57277.0,0.7700577622420821,1.1120945486252347
3.0,9.0,9.0,2970.6666666666665,0.9130368061959211,1.1293054069843595
4.0,5.0,19.0,43413.25,0.07483300663237366,0.06275443365994561
4.0,19.0,23.0,7612.75,0.8555547145546519,0.6032417569467293
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
5.0,6.0,32.0,15392.8,0.004613726545235304,0.002934239705516159
3.0,9.0,14.0,3465.6666666666665,0.7342237910794875,0.6256424239883259
5.0,13.0,40.0,5425.6,0.04917094679718195,0.025337866443492854
0.0,0.0,27.0,0.0,1.0,0.059895410693060716
1.0,1.0,27.0,4804.0,0.14300600547643383,0.028230268044280922
3.0,9.0,36.0,1768.3333333333333,0.11765913725041481,0.04237289167085319
4.0,37.0,48.0,14562.25,0.810722180668881,0.28661592433586697
2.0,14.0,45.0,13877.5,0.35482893211769867,0.07332370808805397
0.0,0.0,48.0,0.0,1.0,0.03471324090023757
3.0,14.0,15.0,4886.666666666667,0.8944376500445932,0.7175611445221465
5.0,5.0,5.0,10509.6,0.9397268227957682,2.8706144292137834
0.0,0.0,12.0,0.0,1.0,0.12438505213273382
0.0,0.0,26.0,0.0,1.0,0.062038906268893385
11.0,48.0,49.0,7366.454545454545,0.9608758738847595,0.8578139397922616
0.0,0.0,15.0,0.0,1.0,0.10233590644429767
0.0,0.0,18.0,0.0,1.0,0.08693191160466854
4.0,5.0,5.0,6171.5,0.9288009076221616,2.3197683788591608
2.0,40.0,48.0,2058.5,0.8381824370269261,0.16283395234477602
3.0,3.0,39.0,3496.0,0.005599863259506912,0.001869573334704428
6.0,8.0,40.0,5292.166666666667,0.0013898154223145464,0.0008477217956736799
24.0,31.0,31.0,25297.25,0.984607149754868,2.8940390200893735
3.0,5.0,51.0,2299.6666666666665,0.00806468842775448,0.0020843247176284886
1.0,2.0,4.0,189.0,0.7393802299183904,0.7069415997042295
12.0,15.0,18.0,30789.916666666668,0.8075557303570154,1.9869941884294846
0.0,0.0,26.0,0.0,1.0,0.062038906268893385
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,29.0,0.0,1.0,0.056024200065206364
6.0,26.0,40.0,14974.333333333334,0.5626906269155821,0.34321471829923983
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,40.0,0.0,1.0,0.04133287676168719
0.0,0.0,17.0,0.0,1.0,0.09152362645688207
1.0,2.0,14.0,4173.0,0.39193630513418765,0.14014915155904928
3.0,43.0,43.0,4868.666666666667,0.9130368061959211,0.2778066467852278
0.0,0.0,31.0,0.0,1.0,0.05262316936346398
1.0,5.0,16.0,5149.0,0.5672637307608422,0.18032152318319056
0.0,0.0,4.0,0.0,1.0,0.2932193813172694
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
0.0,0.0,36.0,0.0,1.0,0.04568947737595556
0.0,0.0,39.0,0.0,1.0,0.04234221869214443
0.0,0.0,11.0,0.0,1.0,0.134013598569496
0.0,0.0,8.0,0.0,1.0,0.17458233353265432
4.0,10.0,21.0,17620.0,0.40048047319123886,0.3067928529541838
0.0,0.0,3.0,0.0,1.0,0.35352312773196665
1.0,2.0,4.0,4692.0,0.7393802299183904,0.7069415997042295
0.0,0.0,41.0,0.0,1.0,0.040370544046486996
0.0,0.0,17.0,0.0,1.0,0.09152362645688207
0.0,0.0,14.0,0.0,1.0,0.10876141351751954
1.0,1.0,23.0,1882.0,0.17165979777962587,0.0393019022835566
1.0,1.0,24.0,9267.0,0.1636641751706934,0.03603169737975196
8.0,9.0,10.0,9209.125,0.9152581100462212,2.536396926831275
19.0,22.0,22.0,26462.63157894737,0.9808558215306956,3.145966356381569
7.0,17.0,22.0,5175.571428571428,0.7777685526015293,0.9560449634513447
10.0,10.0,12.0,52578.4,0.8420243029823171,2.4762457186982836
0.0,0.0,9.0,0.0,1.0,0.1585746485314385
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
2.0,2.0,3.0,4298.5,0.8123069981667995,1.5720007554862083
0.0,0.0,5.0,0.0,1.0,0.2505729111618946
9.0,30.0,40.0,1823.2222222222222,0.657004519539704,0.5872605033137023
0.0,0.0,13.0,0.0,1.0,0.11604904372844141
1.0,3.0,14.0,99.0,0.47982878827551373,0.17157787295922053
0.0,0.0,31.0,0.0,1.0,0.05262316936346398
8.0,14.0,14.0,16769.375,0.9587273896918027,1.9982666382012413
23.0,36.0,39.0,38527.391304347824,0.9101267411334875,2.067916670792302
47.0,50.0,50.0,31862.08510638298,0.9919043643332884,3.600264994210874
3.0,16.0,17.0,3051.3333333333335,0.896664587665194,0.6439952091933073
2.0,2.0,17.0,8177.5,0.12270870955720388,0.06256811986656845
13.0,17.0,22.0,19690.0,0.5918905808005442,1.3130580154137648
5.0,14.0,17.0,42942.8,0.8564952956624726,0.9715169662611562
3.0,4.0,5.0,6697.0,0.8556510125036662,1.6596818420543453
0.0,0.0,43.0,0.0,1.0,0.03857435229142854
1.0,4.0,21.0,2195.0,0.4187533845645457,0.10420164972534177
0.0,0.0,44.0,0.0,1.0,0.037734899621191226
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,1.0,0.0,1.0,0.6034997355386784
0.0,0.0,41.0,0.0,1.0,0.040370544046486996
1.0,1.0,39.0,108449.0,0.09162127224429381,0.01279778764572057
24.0,24.0,24.0,45888.541666666664,0.984607149754868,3.6665567341606047
3.0,3.0,4.0,6225.333333333333,0.8409159927781817,1.9024729784137322
3.0,7.0,39.0,12270.333333333334,0.047295108328227004,0.015789970092983368
1.0,4.0,16.0,2000.0,0.508003708314429,0.16148397561589786
0.0,0.0,9.0,0.0,1.0,0.1585746485314385
0.0,0.0,29.0,0.0,1.0,0.056024200065206364
0.0,0.0,19.0,0.0,1.0,0.08277923225233855
0.0,0.0,4.0,0.0,1.0,0.2932193813172694
0.0,0.0,3.0,0.0,1.0,0.35352312773196665
0.0,0.0,44.0,0.0,1.0,0.037734899621191226
2.0,29.0,32.0,4752.0,0.8635852439002853,0.2465058505494081
0.0,0.0,22.0,0.0,1.0,0.07240442561424894
1.0,1.0,14.0,2250.0,0.285313141040965,0.10202268613990334
0.0,0.0,41.0,0.0,1.0,0.040370544046486996
2.0,48.0,49.0,2724.5,0.883387753064768,0.1682573644948029
5.0,7.0,29.0,8214.2,0.014975123946947659,0.010440956549090436
4.0,11.0,12.0,2608.0,0.9027122609082485,1.1325741755239853
12.0,14.0,16.0,25371.666666666668,0.8809908539147914,2.406183636633951
9.0,40.0,40.0,28373.666666666668,0.9626519348150782,0.8604620561080455
0.0,0.0,14.0,0.0,1.0,0.10876141351751954
